ns2:coordinates;ns3:carretera;ns3:municipi;ns3:pk;ns3:link;ns3:font;font;id;url
1.50065231,42.49383514;CG1 (PONT SANTA COLOMA;Andorra;;http://www.mobilitat.ad/mapa/fotos/adm_Pont_Santa_Coloma.jpg?a=1;Andorra;andorra;adm_Pont_Santa_Coloma;?font=andorra&id=adm_Pont_Santa_Coloma
1.58929257,42.53669708;CG2;Andorra;5,56;http://www.mobilitat.ad/mapa/fotos/adm_mpeg_Encamp%20Nord.jpg?a=1;Andorra;andorra;adm_mpeg_Encamp%20Nord;?font=andorra&id=adm_mpeg_Encamp%20Nord
1.70063604,42.54668826;CG2;Andorra;21,42;http://www.mobilitat.ad/mapa/fotos/adm_mpeg_Grau%20Roig.jpg?a=1;Andorra;andorra;adm_mpeg_Grau%20Roig;?font=andorra&id=adm_mpeg_Grau%20Roig
1.73071993,42.54664232;CG2;Andorra;30;http://www.mobilitat.ad/mapa/fotos/adm_mpeg_Bombers.jpg?a=1;Andorra;andorra;adm_mpeg_Bombers;?font=andorra&id=adm_mpeg_Bombers
1.47415294,42.43629443;CG1;Andorra;11,18;http://www.mobilitat.ad/mapa/fotos/adm_h263_Riu%20Runner.jpg?a=1;Andorra;andorra;adm_h263_Riu%20Runner;?font=andorra&id=adm_h263_Riu%20Runner
1.48938748,42.4805262;CG1;Andorra;5,3;http://www.mobilitat.ad/mapa/fotos/adm_h263_Margineda.jpg?a=1;Andorra;andorra;adm_h263_Margineda;?font=andorra&id=adm_h263_Margineda
1.5278171,42.50519513;CG1;Andorra;0,4;http://www.mobilitat.ad/mapa/fotos/adm_mpeg4_bus.jpg?a=1;Andorra;andorra;adm_mpeg4_bus;?font=andorra&id=adm_mpeg4_bus
1.4866837,42.45700833;CG1;Andorra;8,5;http://www.mobilitat.ad/mapa/fotos/adm_h263_Sant%20Eloi.jpg?a=1;Andorra;andorra;adm_h263_Sant%20Eloi;?font=andorra&id=adm_h263_Sant%20Eloi
2.18207217,41.38141543;Pla�a Antonio L�pez;Barcelona;;http://www.bcn.cat/transit/imatges/PlAntonioLopez.gif?a=1;IMI;bcn;PlAntonioLopez;?font=bcn&id=PlAntonioLopez
2.16560024,41.3871296;Balmes - Gran Via;Barcelona;;http://www.bcn.cat/transit/imatges/BalmesGranVia.gif?a=1;IMI;bcn;BalmesGranVia;?font=bcn&id=BalmesGranVia
2.14077336,41.40444905;Balmes - Mitre;Barcelona;;http://www.bcn.cat/transit/imatges/BalmesMitre.gif?a=1;IMI;bcn;BalmesMitre;?font=bcn&id=BalmesMitre
